Gene Synonym,Gene name
AGAP8,AGAP4
CTGLF1,AGAP4
CTGLF5,AGAP4
EM:AC012044.1,AGAP4
MRIP2,AGAP4
CTGLF2,AGAP5
EM:AC073389.1,AGAP5
AGAP7,AGAP7P
BA109G10.1,AGAP7P
CTGLF4,AGAP7P
BA301J7.2,AGAP9
CTGLF6,AGAP9
FLJ00312,AGAP9
AGAP10,AGAP10P
BA144G6.2,AGAP10P
BA358L16.1,AGAP10P
CTGLF10P,AGAP10P
CTGLF7,AGAP10P
KIAA1975,AGAP11
BA164N7.2,AGAP12P
AGAP14,AGAP14P
BA145E20.1,AGAP14P
CTGLF11P,AGAP14P
CCP4,AGBL1
FLJ32310,AGBL1
CCP2,AGBL2
FLJ23598,AGBL2
CCP3,AGBL3
MGC32955,AGBL3
RAGE,AGER
SCARJ1,AGER
SRAGE,AGER
FLJ10842,AGK
MULK,AGK
AGKY1,AGKP1
GDE,AGL
FLJ16237,AGMO
TMEM195,AGMO
EIF2C4,AGO4
FLJ20033,AGO4
HAGO4,AGO4
KIAA1567,AGO4
LPAAT-ALPHA,AGPAT1
LPLAT1,AGPAT1
LPAAT-GAMMA,AGPAT3
LPAAT3,AGPAT3
LPLAT3,AGPAT3
FLJ11210,AGPAT5
LPAAT-E,AGPAT5
LPAAT-EPSILON,AGPAT5
LPLAT5,AGPAT5
AG2,AGR2
HAG-2,AGR2
PDIA17,AGR2
XAG-2,AGR2
BCMP11,AGR3
HAG-3,AGR3
HAG3,AGR3
PDIA18,AGR3
AGRT,AGRP
ART,AGRP
ASIP2,AGRP
CCP1,AGTPBP1
KIAA1035,AGTPBP1
NNA1,AGTPBP1
AT2,AGTR2
MRX88,AGTR2
AHCTF1P,AHCTF1P1
ELYS-LIKE,AHCTF1P1
ADOHCYASE,AHCY
SAHH,AHCY
FLJ20069,AHI1
JBTS3,AHI1
ORF1,AHI1
AHNAK1,AHNAK
MGC5395,AHNAK
C14ORF78,AHNAK2
BHLHE76,AHR
EDRF,AHSP
ERAF,AHSP
AIF-1,AIF1
EM:AF129756.17,AIF1
IBA1,AIF1
IRT-1,AIF1
C9ORF58,AIF1L
FLJ12783,AIF1L
IBA2,AIF1L
AIF,AIFM1
AUNX1,AIFM1
CMTX4,AIFM1
DFNX5,AIFM1
NAMSD,AIFM1
PDCD8,AIFM1
AMID,AIFM2
FLJ14497,AIFM2
FSP1,AIFM2
PRG3,AIFM2
AIFL,AIFM3
FLJ30473,AIFM3
AIG-1,AIG1
DJ95L4.1,AIG1
FLJ10485,AIG1
BA400P21.1,AIMP1P1
SCYE1P,AIMP1P1
LCA4,AIPL1
APECED,AIRE
APS1,AIRE
PGA1,AIRE
AIR,AIRN
IGF2R-AS1,AIRN
IGF2RAS,AIRN
NCRNA00088,AIRN
MOT8,AJAP1
SHREW-1,AJAP1
SHREW1,AJAP1
AJM-1,AJM1
C9ORF172,AJM1
HST26053,AK3P2
AK3,AK4
AK3L1,AK4
AK3P1,AK4P1
CINAP,AK6
CFAP75,AK7
FAP75,AK7
FLJ32864,AK7
C9ORF98,AK8
FLJ32704,AK8
C18ORF42,AKAIN1
AKAP121,AKAP1
AKAP149,AKAP1
AKAP84,AKAP1
D-AKAP1,AKAP1
PPP1R43,AKAP1
PRKA1,AKAP1
S-AKAP84,AKAP1
SAKAP84,AKAP1
TDRD17,AKAP1
AKAP82,AKAP4
CT99,AKAP4
FSC1,AKAP4
HAKAP82,AKAP4
HI,AKAP4
P82,AKAP4
ADAP6,AKAP6
AKAP100,AKAP6
KIAA0311,AKAP6
MAKAP,AKAP6
PRKA6,AKAP6
D-AKAP2,AKAP10
MGC9414,AKAP10
PRKA10,AKAP10
AKAP220,AKAP11
DKFZP781I12161,AKAP11
FLJ11304,AKAP11
KIAA0629,AKAP11
PPP1R44,AKAP11
PRKA11,AKAP11
AKAP250,AKAP12
SSECKS,AKAP12
AKAP-LBC,AKAP13
ARHGEF13,AKAP13
BRX,AKAP13
C-LBC,AKAP13
HA-3,AKAP13
HT31,AKAP13
LBC,AKAP13
PROTO-LB,AKAP13
AKAP28,AKAP14
721P,AKAP17A
CCDC133,AKAP17A
CXYORF3,AKAP17A
DXYS155E,AKAP17A
MGC39904,AKAP17A
SFRS17A,AKAP17A
XE7,AKAP17A
XE7Y,AKAP17A
AKAP16B,AKAP17BP
AKAP16BP,AKAP17BP
C6ORF166,AKIRIN2
DJ486L4.2,AKIRIN2
FLJ10342,AKIRIN2
ALDR1,AKR1B1
AR,AKR1B1
ALDRL4,AKR1B1P4
AKR1B1P,AKR1B1P5
AKR1B11,AKR1B10
AKR1B12,AKR1B10
ALDRLN,AKR1B10
ARL-1,AKR1B10
ARL1,AKR1B10
HIS,AKR1B10
HSI,AKR1B10
DD1,AKR1C1
DDH,AKR1C1
DDH1,AKR1C1
HAKRC,AKR1C1
MBAB,AKR1C1
BABP,AKR1C2
DD,AKR1C2
DD2,AKR1C2
DDH2,AKR1C2
HAKRD,AKR1C2
MCDR2,AKR1C2
TDD,AKR1C2
DDX,AKR1C3
HAKRB,AKR1C3
HSD17B5,AKR1C3
KIAA0119,AKR1C3
PGFS,AKR1C3
3-ALPHA-HSD,AKR1C4
C11,AKR1C4
CDR,AKR1C4
CHDR,AKR1C4
DD4,AKR1C4
HAKRA,AKR1C4
MGC22581,AKR1C4
TAKR,AKR1C6P
SRD5B1,AKR1D1
AKR1CL2,AKR1E2
AKRDC1,AKR1E2
HTAKR,AKR1E2
HTSP1,AKR1E2
MGC10612,AKR1E2
AFARP1,AKR7A2P1
LOBE,AKT1S1
MGC2865,AKT1S1
PRAS40,AKT1S1
PKBG,AKT3
PRKBG,AKT3
RAC-GAMMA,AKT3
FLJ13258,AKTIP
FTS,AKTIP
ALADH,ALAD
PBGS,ALAD
ALAS-E,ALAS2
ASB,ALAS2
CD166,ALCAM
MEMD,ALCAM
ALDH1,ALDH1A1
PUMB1,ALDH1A1
RALDH1,ALDH1A1
RALDH2,ALDH1A2
ALDH6,ALDH1A3
